,english_word,hindi_word,polarity
0,abundant,हुस्न,positive
1,accessible,सुलभ,positive
2,accomplish,पूरा,positive
3,accomplished,पूरा,positive
4,accomplishment,उपलब्धि,positive
5,accomplishments,उपलब्धियों,positive
6,accurate,सटीक,positive
7,accurately,यथासंभव,positive
8,achievement,उपलब्धि,positive
9,achievements,उपलब्धियाँ,positive
10,acumen,कौशल,positive
11,adjustable,समायोजनीय,positive
12,admirable,प्रशंसनीय,positive
13,abundant,हुस्न,positive
14,accessible,सुलभ,positive
15,accomplish,पूरा,positive
16,accomplished,पूरा,positive
17,accomplishment,उपलब्धि,positive
18,accomplishments,उपलब्धियों,positive
19,accurate,सटीक,positive
20,accurately,यथासंभव,positive
21,achievement,उपलब्धि,positive
22,achievements,उपलब्धियाँ,positive
23,acumen,कौशल,positive
24,adjustable,समायोजनीय,positive
25,admirable,प्रशंसनीय,positive
26,admire,प्रशंसा,positive
27,admirer,प्रशंसक,positive
28,adorable,प्यारे,positive
29,adore,प्यार,positive
30,advanced,उन्नत,positive
31,advantage,लाभ,positive
32,advantages,लाभ,positive
33,advocates,हिन्दुत्व,positive
34,affection,स्नेह,positive
35,affinity,संबंध,positive
36,affirmative,सकारात्मक,positive
37,afford,बर्दाश्त,positive
38,affordable,किफायती,positive
39,agile,एजाइल,positive
40,agility,की,positive
41,all-around,all-around,positive
42,alluring,सम्मोहक,positive
43,amaze,आश्चर्यचकित,positive
44,amazed,हैरान,positive
45,amazing,अद्भुत,positive
46,amazingly,आश्चर्यजनक,positive
47,ambitious,महत्वाकांक्षी,positive
48,ample,पर्याप्त,positive
49,angel,परी,positive
50,angelic,ऐंजेलिक,positive
51,appeal,अपील,positive
52,appealing,ऐसे,positive
53,appreciate,की,positive
54,appreciated,सराहना,positive
55,appropriate,उपयुक्त,positive
56,approval,अनुमोदन,positive
57,approve,अनुमोदन,positive
58,aspire,अस्पायर,positive
59,assurance,आश्वासन,positive
60,assurances,आश्वासन,positive
61,assuring,सुनिश्चित,positive
62,astonished,बडा,positive
63,astonishing,चौंकाने,positive
64,astounding,आश्चर्यजनक,positive
65,attentive,सचेत,positive
66,attraction,आकर्षण,positive
67,attractive,आकर्षक,positive
68,attractively,आकर्षक,positive
69,auspicious,बनाते,positive
70,authentic,प्रामाणिक,positive
71,autonomous,खुला,positive
72,available,उपलब्ध,positive
73,award,पुरस्कार,positive
74,awarded,से,positive
75,awards,पुरस्कार,positive
76,awe,कर,positive
77,awesome,बेहतरीन,positive
78,awsome,कमाल,positive
79,backbone,मेरुदंड,positive
80,balanced,संतुलित,positive
81,bargain,सौदा,positive
82,beautiful,सुंदर,positive
83,beautifully,खूबसूरती,positive
84,beautify,शोभा,positive
85,beauty,सौंदर्य,positive
86,beloved,प्रिय,positive
87,beneficial,फायदेमंद,positive
88,beneficiary,लाभार्थी,positive
89,benefit,लाभ,positive
90,benefits,लाभ,positive
91,best,सर्वश्रेष्ठ,positive
92,best-known,best-known,positive
